source,url
coinspeaker,https://www.coinspeaker.com/news/feed/
newsbtc,https://www.newsbtc.com/feed/
bitcoinist,https://bitcoinist.com/feed/
bitcoinmagazine,https://bitcoinmagazine.com/.rss/full/
cointelegraph,https://cointelegraph.com/rss
coindesk,https://www.coindesk.com/arc/outboundfeeds/rss/
blockchain.news,https://Blockchain.News/RSS/
bitmex,https://blog.bitmex.com/feed/?lang=en_US
decrypt,https://decrypt.co/feed
99bitcoins,https://99bitcoins.com/feed/
coinjournal,https://coinjournal.net/feed/
investing.com,https://uk.investing.com/rss/news_301.rss
